epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.8098,1.27395,2.27945,1.06755,0.7093,0.61014,0.65503,0.42511,1.21335,1.45709,1.10108,0.000661247,0.000661247,0.000661247
2,134.766,1.0554,1.27209,1.0098,0.61688,0.70937,0.64475,0.52573,0.71082,1.2015,0.91505,0.00130162,0.00130162,0.00130162
3,198.735,0.96326,1.15772,0.9884,0.60179,0.75921,0.69887,0.56476,0.80066,1.1661,0.94588,0.00191559,0.00191559,0.00191559
4,262.514,0.89492,1.08528,0.97412,0.55814,0.77672,0.68074,0.56901,0.69506,1.35173,0.91721,0.0018812,0.0018812,0.0018812
5,328.364,0.83055,1.01603,0.95178,0.66839,0.75119,0.76779,0.65734,0.61697,1.06043,0.89122,0.0018416,0.0018416,0.0018416
6,393.026,0.7554,0.93413,0.93732,0.78519,0.75119,0.83156,0.71161,0.5887,0.80917,0.88446,0.001802,0.001802,0.001802
7,456.306,0.73193,0.88896,0.9307,0.78756,0.78764,0.85164,0.73993,0.55203,0.80432,0.8725,0.0017624,0.0017624,0.0017624
8,521.322,0.6926,0.85525,0.92455,0.81507,0.76387,0.86931,0.75519,0.57703,0.75295,0.87645,0.0017228,0.0017228,0.0017228
9,586.004,0.67808,0.85891,0.91449,0.76031,0.80032,0.85091,0.7449,0.55287,1.2215,0.86663,0.0016832,0.0016832,0.0016832
10,648.84,0.66798,0.81281,0.90574,0.80378,0.77253,0.85634,0.54068,1.26269,0.89622,1.21014,0.0016436,0.0016436,0.0016436
11,711.768,0.65268,0.81927,0.90876,0.7442,0.82993,0.86257,0.77407,0.47581,0.82603,0.85878,0.001604,0.001604,0.001604
12,774.786,0.62181,0.83373,0.90139,0.794,0.78288,0.86709,0.76807,0.48831,0.78986,0.86307,0.0015644,0.0015644,0.0015644
13,837.751,0.60511,0.79241,0.89907,0.81467,0.82409,0.88623,0.79327,0.49173,0.70749,0.85443,0.0015248,0.0015248,0.0015248
14,900.665,0.60436,0.7747,0.89087,0.79719,0.83201,0.88426,0.78185,0.50408,0.67487,0.85777,0.0014852,0.0014852,0.0014852
15,963.572,0.58913,0.74181,0.89046,0.83817,0.79239,0.88952,0.79801,0.4643,0.67899,0.85344,0.0014456,0.0014456,0.0014456
16,1026.8,0.57295,0.72418,0.88003,0.8152,0.78995,0.88307,0.79955,0.41051,0.66257,0.83595,0.001406,0.001406,0.001406
17,1090.28,0.56457,0.72751,0.88575,0.81199,0.77338,0.88109,0.79834,0.4309,0.67551,0.84537,0.0013664,0.0013664,0.0013664
18,1153.28,0.56285,0.71906,0.88902,0.76377,0.83677,0.86977,0.79327,0.4222,0.69425,0.83968,0.0013268,0.0013268,0.0013268
19,1216.77,0.54144,0.66993,0.87606,0.79038,0.81458,0.87903,0.79822,0.43381,0.66749,0.84607,0.0012872,0.0012872,0.0012872
20,1279.05,0.56774,0.68429,0.88639,0.74615,0.82451,0.86272,0.7845,0.44016,0.72003,0.84511,0.0012476,0.0012476,0.0012476
21,1341.58,0.53463,0.68368,0.87865,0.83846,0.77496,0.89329,0.81988,0.40603,0.6484,0.83708,0.001208,0.001208,0.001208
22,1404.12,0.52123,0.65604,0.87265,0.718,0.71949,0.79649,0.72598,0.44095,0.80681,0.84871,0.0011684,0.0011684,0.0011684
23,1466.53,0.52128,0.64742,0.87535,0.82291,0.82482,0.89689,0.81341,0.41224,0.65673,0.83666,0.0011288,0.0011288,0.0011288
24,1528.86,0.50294,0.65258,0.86659,0.86235,0.82409,0.91567,0.8428,0.39879,0.5774,0.83515,0.0010892,0.0010892,0.0010892
25,1591.3,0.50972,0.64878,0.86819,0.81973,0.82874,0.90699,0.84565,0.37824,0.62121,0.82772,0.0010496,0.0010496,0.0010496
26,1653.79,0.51118,0.63492,0.8739,0.80732,0.78922,0.8748,0.81994,0.3774,0.66827,0.8252,0.00101,0.00101,0.00101
27,1716.12,0.49776,0.62063,0.86868,0.82258,0.8336,0.89577,0.82717,0.38437,0.68218,0.82747,0.0009704,0.0009704,0.0009704
28,1778.16,0.48426,0.6104,0.85795,0.86274,0.82675,0.91979,0.85453,0.37402,0.57073,0.83106,0.0009308,0.0009308,0.0009308
29,1840.34,0.47846,0.60399,0.86127,0.83396,0.84376,0.91364,0.85135,0.36972,0.5788,0.83391,0.0008912,0.0008912,0.0008912
